,STATION,DAY,Entered,Exited,IMPRESSIONS
106,145 ST,11,27221.0,22161.0,49382.0
107,145 ST,12,37107.0,29766.0,66873.0
108,145 ST,13,41368.0,33638.0,75006.0
109,145 ST,14,41722.0,34804.0,76526.0
110,145 ST,15,42944.0,34409.0,77353.0
111,145 ST,16,41890.0,33521.0,75411.0
112,149/GRAND CONC,10,6567.0,5690.0,12257.0
113,149/GRAND CONC,11,5942.0,5203.0,11145.0
114,149/GRAND CONC,12,13223.0,9204.0,22427.0
115,149/GRAND CONC,13,16970.0,10518.0,27488.0
116,149/GRAND CONC,14,16784.0,9702.0,26486.0
117,149/GRAND CONC,15,16859.0,9518.0,26377.0
118,149/GRAND CONC,16,15428.0,9047.0,24475.0
119,14TH STREET,10,0.0,49.0,49.0
120,14TH STREET,11,0.0,87.0,87.0
121,14TH STREET,12,8211.0,9472.0,17683.0
122,14TH STREET,13,10226.0,10233.0,20459.0
123,14TH STREET,14,9867.0,10567.0,20434.0
124,14TH STREET,15,10041.0,10491.0,20532.0
125,14TH STREET,16,9780.0,10394.0,20174.0
126,15 ST-PROSPECT,10,3335.0,1490.0,4825.0
127,15 ST-PROSPECT,11,3560.0,1991.0,5551.0
128,15 ST-PROSPECT,12,5886.0,2118.0,8004.0
129,15 ST-PROSPECT,13,6656.0,2470.0,9126.0
130,15 ST-PROSPECT,14,6695.0,2468.0,9163.0
131,15 ST-PROSPECT,15,6762.0,2409.0,9171.0
132,15 ST-PROSPECT,16,6530.0,2418.0,8948.0
133,155 ST,10,4243.0,2458.0,6701.0
134,155 ST,11,3894.0,2872.0,6766.0
135,155 ST,12,6272.0,3777.0,10049.0
136,155 ST,13,7123.0,4516.0,11639.0
137,155 ST,14,7121.0,4458.0,11579.0
138,155 ST,15,7310.0,4487.0,11797.0
139,155 ST,16,7211.0,4221.0,11432.0
140,157 ST,10,7652.0,4293.0,11945.0
141,157 ST,11,6858.0,5034.0,11892.0
142,157 ST,12,10455.0,6916.0,17371.0
143,157 ST,13,11559.0,7515.0,19074.0
144,157 ST,14,11605.0,7695.0,19300.0
145,157 ST,15,11656.0,7782.0,19438.0
146,157 ST,16,11647.0,7473.0,19120.0
147,161/YANKEE STAD,10,23594.0,13893.0,37487.0
148,161/YANKEE STAD,11,20224.0,12688.0,32912.0
149,161/YANKEE STAD,12,23318.0,20677.0,43995.0
150,161/YANKEE STAD,13,39165.0,21872.0,61037.0
151,161/YANKEE STAD,14,47097.0,20507.0,67604.0
152,161/YANKEE STAD,15,28505.0,12821.0,41326.0
